t,src,snk
t045, 12, 9
t045, 13, 5
t045, 13, 40
t045, 14, 1
t045, 14, 17
t045, 14, 25
t045, 15, 2
t045, 15, 13
t045, 15, 21
t045, 15, 23
t045, 16, 33
t045, 16, 38
t045, 17, 3
t045, 17, 26
t045, 17, 29
t045, 18, 22
t045, 19, 2
t045, 19, 7
t045, 20, 22
t045, 21, 22
t045, 23, 3
t045, 23, 5
t045, 23, 10
t045, 23, 12
t045, 23, 13
t045, 23, 14
t045, 23, 30
t045, 23, 38
t045, 24, 6
t045, 24, 27
t045, 24, 40
t045, 25, 39
t045, 26, 11
t045, 26, 17
t045, 26, 22
t045, 28, 6
t045, 29, 5
t045, 29, 6
t045, 29, 22
t045, 29, 28
t045, 30, 10
t045, 30, 22
t045, 32, 6
t045, 32, 19
t045, 35, 1
t045, 35, 8
t045, 35, 10
t045, 35, 21
t045, 37, 22
t045, 38, 9
t045, 38, 10
t045, 38, 36
t045, 38, 39
t045, 39, 2
t045, 40, 22
t045, 40, 27
t046, 3, 18
t046, 3, 23
t046, 3, 25
t046, 5, 29
t046, 6, 4
t046, 6, 7
t046, 6, 26
t046, 8, 6
t046, 8, 22
t046, 8, 29
t046, 8, 39
t046, 9, 26
t046, 11, 15
