label, xcoord, ycoord, zcoord, clust10
301, 21.6878, -83.1814, 22.5992, 2
302, 18.6923, -84.9135, 28.5577, 2
303, 23.7355, -82.314, 35.719, 2
304, 28.1646, -74.2215, 42.4684, 2
305, 23.7553, -90.5638, 12.0319, 2
306, 25.7748, -82.8018, 25.8108, 2
307, -8.2643, 13.8643, -12.6857, 2
308, 10.1246, 14.6644, -12.5606, 2
309, -18.0614, -1.3584, -1.0444, 2
310, 20.9214, -1.0571, -1.0857, 2
311, -20.0413, -2.0413, -26.3306, 2
312, -19.6015, -6.8046, -29.9234, 2
313, -20.2542, -32.822, -12.6186, 2
314, -26.251, -28.8536, -17.8912, 2
315, 29.7681, -35.5556, -10.7343, 2
316, 20.6881, -28.0734, -15.2202, 2
317, 25.4052, 1.1034, -31.6034, 2
318, 20.1043, -2.487, -23.9304, 2
319, 29.7061, -19.0041, -25.4612, 2
320, -10.8369, -19.8085, 75.6454, 2
321, -7.3141, -20.1155, 62.8809, 2
322, -5.5564, -27.5331, 64.7704, 2
323, -9.2279, -31.5588, 76.4926, 2
324, -6.659, -34.9962, 63.0805, 2
325, 8.3277, -33.8983, 58.0621, 2
326, 6.7837, -26.351, 74.6122, 2
327, 5.6878, -38.3291, 71.7468, 2
328, -48.9542, -37.8397, 46.1145, 2
329, -37.1091, -55.6873, 52.6077, 2
330, -50.7756, -27.6474, 41.9679, 2
331, -41.0914, -44.5251, 52.1475, 2
332, -44.5399, -51.2852, 46.7072, 2
333, -45.7258, -50.2676, 39.5318, 2
334, -49.5655, -40.6, 39.6276, 2
335, -30.61, -64.9677, 43.3138, 2
336, -8.4844, -84.5952, 4.8028, 2
337, -4.2289, -88.4337, -8.2892, 2
338, -2.0469, -86.7793, -0.10329, 2
339, -7.2738, -70.9108, 14.0985, 2
340, -11.0492, -59.5316, 8.7588, 2
341, -5.3402, -97.7423, -7.9485, 2
342, -7.8222, -100.4111, -1.3778, 2
343, 1.0526, -86.7068, 9.4887, 2
344, -11.8429, -77.3112, 11.2991, 2
345, 49.5193, -41.0129, 47.4592, 2
346, 45.8043, -39.413, 52.8913, 2
347, 39.9697, -53.2909, 51.8182, 2
348, 47.4961, -51.4806, 46.5271, 2
349, 50.9597, -51.2258, 40.5565, 2
350, -27.6036, -54.5766, 65.1982, 2
351, -24.787, -64.0578, 56.7726, 2
352, -19.2424, -59.447, 61.7652, 2
353, -16.5223, -72.2474, 51.0241, 2
354, -21.2453, -72.1585, 45.4113, 2
355, -30.9874, -47.1213, 63.749, 2
356, -18.9108, -49.0704, 69.3991, 2
357, -30.6871, -61.7483, 53.2517, 2
358, 28.9802, -69.1225, 52.2688, 2
359, 18.5462, -73.2521, 50.5042, 2
360, 23.8197, -58.041, 67.1721, 2
361, 42.1197, -46.6325, 59.5812, 2
362, 15.4353, -59.5216, 68.0314, 2
363, 18.6613, -69.9597, 58.0403, 2
364, 20.9426, -49.5082, 68.7131, 2
365, 34.2063, -54.3889, 61.9921, 2
366, 30.3701, -62.8425, 59.8425, 2
367, -20.487, -39.1813, 74.4974, 2
368, -56.426, -3.9172, 18.071, 2
369, -44.1693, -32.6082, 51.6614, 2
370, -41.9646, -28.3451, 57.3805, 2
371, -49.9185, -18.9926, 44.4296, 2
372, -45.7844, -12.9219, 46.5948, 2
373, -42.5312, -21.8047, 52.3281, 2
374, -50.5794, -9.6825, 36.8968, 2
375, -60.6772, -17.3862, 20.5397, 2
376, -36.3583, -38.1173, 58.886, 2
377, -57.269, -8.7513, 27.8173, 2
378, -56.1195, -17.8805, 32.255, 2
379, -21.1246, -33.5231, 68.1708, 2
380, -56.1043, -12.8435, 20.313, 2
381, -29.8939, -31.3551, 65.0776, 2
382, -26.5966, -40.4202, 64.2437, 2
383, 21.4059, -41.2079, 72.3168, 2
384, 56.3954, -17.3688, 38.8061, 2
385, 65.0769, -11.4038, 19.9904, 2
386, 54.9594, -15.0701, 33.0406, 2
387, 30.0637, -33.6096, 66.5578, 2
388, 45.8679, -27.2072, 53.5676, 2
389, 14.0113, -45.8983, 71.9548, 2
390, 23.6954, -34.4901, 62.8675, 2
391, 13.5625, -36.3875, 73.5375, 2
392, 29.4104, -44.2313, 63.5896, 2
393, 63.3942, -3.3365, 21.5192, 2
394, 53.0704, -8.3028, 33.5915, 2
395, 51.7637, -21.0836, 48.3919, 2
396, 36.7826, -36.3557, 62.2292, 2
397, 39.6216, -32.8581, 55.3784, 2
398, -49.1765, 1.1513, 40.1849, 2
399, -42.8253, 6.119, 42.4015, 2
400, -51.7569, -2.1725, 32, 2
401, -48.1931, 7.0888, 32.3089, 2
402, -34.3927, -3.0502, 53.8539, 9
403, -21.0391, -14.4375, 71.5312, 2
404, -41.5906, -7.4252, 48.0157, 2
405, -35.4163, -19.6498, 59.2996, 2
406, -53.0588, 2.6228, 22.955, 2
407, -36.8632, -13.453, 55.4957, 2
408, -41.2302, 0.14286, 48.5873, 2
409, -31.4574, -25.0543, 63.7287, 2
410, -24.4245, -21.6163, 69.6898, 2
411, -30.4149, -9.6846, 60.6307, 2
412, 59.5238, 4.4365, 22.0079, 2
413, 36.8647, -11.3534, 57.8797, 2
414, 24.25, -18.8438, 77.3438, 2
415, 51.2399, -7.4539, 41.0554, 2
416, 36.7422, -23.2578, 59.7578, 2
417, 50.069, 7.4, 40.2897, 2
418, 26.3846, -25.6154, 67.3504, 2
419, 48.9026, 0.0064935, 44.461, 2
420, 40.1691, -11.4779, 54.9559, 2
421, 45.4527, -12.8919, 48.1284, 2
422, 52.6601, 4.4052, 31.6013, 2
423, 18.7886, -26.6514, 73.3143, 2
424, 30.1991, -16.7013, 65.9654, 2
425, 17.4875, -20.3, 71.2625, 2
426, -4.4953, -50.6542, 59.7009, 2
427, -10.6448, -54.6557, 70.1858, 2
428, -5.9761, -57.6972, 31.4343, 2
429, -6.9721, -63.3147, 27.8566, 2
430, -5.7251, -50.6635, 65.6019, 2
431, -10.1579, -69.9123, 53.8509, 2
432, -10.7337, -51.1608, 11.3266, 2
433, -3.8631, -68.8365, 41.4144, 2
434, -7.2335, -75.1366, 44.2555, 2
435, -4.3821, -61.878, 50.3252, 2
436, -6.7972, -45.5801, 53.9786, 2
437, -10.3206, -62.0992, 62.1145, 2
438, -10.453, -45.1624, 73.4615, 2
439, -7.2688, -50.2007, 41.0968, 2
440, 5.7406, -48.4017, 58.9874, 2
441, 7.9048, -56.5397, 67.9048, 2
442, 8.5114, -48.0227, 68.5, 2
443, 10.7755, -69.0449, 37.3143, 2
444, 14.4582, -61.1855, 24.3564, 2
445, 7.6271, -63.1186, 60.0508, 2
446, 9.2295, -60.6885, 40.8852, 2
447, 9.9783, -55.278, 27.5307, 2
448, 7.7073, -71.1707, 47.8618, 2
449, 7.0954, -53.8257, 45.4689, 2
450, 9.2632, -45.7053, 45.9298, 2
451, 10.3558, -70.8654, 54.7404, 2
